Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Patrick van Aanholt\Patrick-van-Aanholt,NED,DF,Crystal Palace,28,1990,27.9,1839,95,529,883,532,51,1458,18,36,50,18,2,1000,5651,3130,1079,994,92.1,21,16
Max Aarons\Max-Aarons,ENG,DF,Norwich City,19,2000,36,2133,178,803,903,594,52,1821,49,94,52.1,55,2,1321,9483,5431,1399,1244,88.9,39,48
Tammy Abraham\Tammy-Abraham,ENG,FW,Chelsea,21,1997,24.6,739,31,59,354,352,165,688,21,36,58.3,22,0,427,2315,1159,1076,495,46,71,47
Che Adams\Che-Adams,ENG,FW,Southampton,23,1996,12.3,441,10,35,203,235,68,433,15,27,55.6,15,1,308,1837,841,657,315,47.9,44,29
Adrián\Adrian,ESP,GK,Liverpool,32,1987,9.7,338,300,338,0,0,0,244,0,0,,0,0,163,638,356,155,154,99.4,0,0
Sergio Agüero\Sergio-Aguero,ARG,FW,Manchester City,31,1988,16.1,572,2,21,207,386,154,551,27,45,60,28,2,428,2539,1396,780,450,57.7,24,41
Albian Ajeti\Albian-Ajeti,SUI,MFFW,West Ham,22,1997,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,75,16,64,24,37.5,5,3
Nathan Aké\Nathan-Ake,NED,DF,Bournemouth,24,1995,27.8,1508,278,920,596,86,34,1455,5,5,100,5,0,845,5266,2910,948,900,94.9,7,5
Marc Albrighton\Marc-Albrighton,ENG,MFDF,Leicester City,29,1989,9.6,622,13,111,258,295,23,587,10,29,34.5,13,2,420,2558,1176,495,429,86.7,9,12
Toby Alderweireld\Toby-Alderweireld,BEL,DF,Tottenham,30,1989,32.9,2265,353,1224,1038,114,22,2185,0,2,0,0,0,1362,6528,3056,1535,1500,97.7,3,2
Trent Alexander-Arnold\Trent-Alexander-Arnold,ENG,DF,Liverpool,20,1998,35.3,3520,105,848,1641,1246,63,2865,26,56,46.4,30,4,2108,9335,5698,2363,2230,94.4,36,22
Alisson\Alisson,BRA,GK,Liverpool,26,1992,28.3,984,804,976,9,0,0,760,0,0,,0,0,549,2115,1090,494,490,99.2,1,0
Dele Alli\Dele-Alli,ENG,MFFW,Tottenham,23,1996,20.5,1132,37,171,575,471,96,1076,32,63,50.8,36,7,747,4583,2502,1102,773,70.1,45,56
Miguel Almirón\Miguel-Almiron,PAR,MFFW,Newcastle Utd,25,1994,33.6,1309,44,314,553,602,90,1297,46,93,49.5,54,5,975,9236,5220,1281,894,69.8,60,54
Marcos Alonso\Marcos-Alonso,ESP,DF,Chelsea,28,1990,15.9,1313,30,326,563,511,72,1146,12,19,63.2,12,0,841,4760,2735,928,829,89.3,20,22
Steven Alzate\Steven-Alzate,COL,MFDF,Brighton,20,1998,13.2,838,31,215,406,272,44,787,33,50,66,35,4,618,3821,2140,638,557,87.3,20,28
Ibrahim Amadou\Ibrahim-Amadou,FRA,DFMF,Norwich City,26,1993,8.4,470,107,329,143,14,4,464,2,3,66.7,2,0,253,1003,474,297,289,97.3,1,1
Felipe Anderson\Felipe-Anderson,BRA,MFFW,West Ham,26,1993,16.6,1163,26,166,616,517,68,1138,66,97,68,70,5,932,7366,4575,1042,889,85.3,33,35
Florin Andone\Florin-Andone,ROU,MFFW,Brighton,26,1993,0.8,29,3,4,12,16,7,28,2,4,50,2,0,17,218,151,33,16,48.5,5,2
Angeliño\Angelino,ESP,DF,Manchester City,22,1997,4.7,477,16,98,199,214,10,429,5,8,62.5,5,2,321,1545,942,361,343,95,3,4
Faustino Anjorin\Faustino-Anjorin,ENG,FW,Chelsea,17,2001,0.2,12,0,1,5,6,2,12,1,1,100,1,0,10,67,40,11,8,72.7,0,1
